step,train_loss,raw_reward,grad_norm,router_aux_loss,ppo_kl,global_expert_0_weight,global_expert_1_weight,global_expert_2_weight,global_expert_3_weight,pre_topk_normalized_entropy,post_topk_normalized_entropy,step_time_s,response_tokens_per_s,actor_train_tokens_per_s,update_weights_time_s
0,0.02367481589,-0.75,0.009613661095,0.01102460921,0,0.2633030415,0.2470199615,0.2414806932,0.2481963485,0.8837419748,0.9202329516,509.6307983,1770.617065,9663.963867,5.234508514
1,0.005047882907,-0.703125,0.01105952822,0.01103807986,0,0.2639586329,0.2454845905,0.242895022,0.2476617843,0.8825553656,0.9191431999,264.8940735,3085.448486,9848.210938,4.06364584
2,0.01928783953,-0.671875,0.009502041154,0.0110162925,0,0.2650293708,0.2457395941,0.244532004,0.244699046,0.8832151294,0.9200871587,274.2921448,3105.192871,9678.668945,3.848314047
3,0.01037276816,-0.75,0.01061369199,0.01100896951,0,0.2619517446,0.2484276444,0.2433216423,0.2462989986,0.883269906,0.9196600914,272.2163391,3131.568115,9867.237305,3.923099756
4,0.01735365205,-0.71875,0.008156679571,0.0110215107,0,0.2644720972,0.2459258139,0.2420711666,0.2475309819,0.8856371045,0.9218873382,293.9081116,3148.497803,9992.036133,4.555883884
5,0.006942845415,-0.828125,0.007143271621,0.01102494448,0,0.2655229867,0.2446391284,0.2447882295,0.245049715,0.8863185048,0.9221947789,308.0478821,3139.687012,9945.822266,4.606850624
6,0.004403604195,-0.703125,0.007848190144,0.01097706612,0,0.2645908296,0.2458061874,0.2410985529,0.2485044152,0.8843635917,0.9207535982,259.8317871,2909.074219,9642.818359,4.032608032
7,0.006119427271,-0.796875,0.006938857492,0.01093673985,0,0.2638877332,0.2453156859,0.2444108278,0.2463857979,0.8858143687,0.9218215942,288.493103,3086.299072,9706.358398,4.354208946
8,-0.001503564534,-0.5,0.006759146228,0.01095046569,0,0.2626647055,0.2439828217,0.2464542091,0.2468982637,0.8865674138,0.922637403,269.9263,3002.263916,9977.768555,4.428921223
9,0.0007972296444,-0.71875,0.008726330474,0.01093571447,0,0.2616465688,0.2481206357,0.2409415245,0.2492913157,0.8852831721,0.9212561846,271.8581238,3060.827881,9874.647461,4.545799255
10,0.007211332675,-0.78125,0.006936347112,0.01090410352,0,0.2613139153,0.2450982481,0.2437158823,0.2498720139,0.8859557509,0.9222367406,289.8641663,3101.742432,9898.317383,3.882517338
